ababá,20.521675
abacá,18.7776034
ábaco,14.6825735
abadá,14.230351
abade,13.1917614
abado,18.4912075
abafa,14.0755818
abafo,16.7173027
abaia,19.537176
abaju,17.2664105
abalá,17.4022946
abalo,13.4331189
abama,18.5694821
abano,14.7082471
abapo,21.3399853
abará,16.3315747
abaré,14.990322
abate,12.3418403
abati,16.5575061
abdal,17.8732083
abebé,17.7481676
abecê,17.9510855
abedê,21.6056885
abedo,21.0276107
abeta,15.8798326
abete,18.1331821
abeto,15.1184016
abexi,21.6501403
abibe,16.4463834
abicô,22.2562761
ábies,21.850811
ábiga,21.968594
abita,16.8020239
abito,16.8232821
aboar,20.4645166
abobó,21.968594
aboço,21.2148222
abofé,19.6660089
abohm,21.7967437
aboio,15.9525893
aboiz,20.3844739
abola,15.1849857
abono,12.5069163
abreu,10.9580001
abril,8.22146032
abrir,9.3150963
ábrus,22.5439581
abube,21.968594
abudo,18.3695709
abunã,15.4617828
abuso,10.8501232
abuta,18.0921982
abuxó,22.1021254
acaçá,16.5967939
açacu,19.3295367
ácade,20.8699817
acaém,21.7967437
acaio,19.1353807
acajá,20.6303089
acaju,14.7597161
açalá,22.1021254
acalo,21.6966603
acama,17.5377772
açame,21.0776211
açamo,19.8285278
acana,17.3964637
acapu,17.8556731
acará,14.7060531
acari,13.6524466
ácaro,14.6734103
acaso,10.2953673
acato,16.3715619
acauã,14.9041555
acava,19.0440892
ácave,21.968594
ácavo,22.0331325
aceca,18.6820595
acejo,22.3432875
acelo,18.2249896
aceno,13.7895344
ácero,20.3717349
aceso,13.102462
aceto,15.6419974
achar,9.74267553
achém,18.3002362
acibe,21.4453459
acica,18.3576761
ácido,10.7476063
acila,17.5474969
acilo,18.8089375
acima,8.67134236
ácino,18.6164993
acioa,21.4089782
áclis,21.5223069
acoar,19.1390639
açobá,21.9079694
acolá,13.2338026
ácopo,21.5631289
acori,20.0967918
ácoro,20.3344635
acral,16.9538007
acréu,21.3071955
acroá,20.551528
ácron,20.0498348
áctia,21.850811
acuar,16.5430935
açude,13.0500609
açulo,20.8493624
acumã,20.789939
acume,18.7957621
açumi,21.6056885
acuna,17.3996989
acuré,21.4089782
acuri,17.6696094
acuta,18.1413122
acuti,19.0078414
adaga,13.7311809
adage,17.1073292
adail,14.8856257
adali,19.2197218
adamo,14.9131733
adano,19.5537969
adega,12.2989082
adejo,18.1345325
adela,15.7468862
adelo,18.5842037
adema,16.4364405
adeso,18.6363895
adeus,10.9572568
adiar,12.3025748
adibe,17.9266398
adiça,16.75672
adido,14.7531243
adíon,22.1021254
ádipe,21.0523033
ádipo,21.0776211
adita,16.8721633
ádito,18.0478591
adoba,19.5154361
adobe,11.5574609
adobo,17.4353227
adolo,16.8394352
adova,20.2868354
adoxa,20.1562152
aduar,18.8358209
adubo,12.7346714
adufa,18.9697416
adufe,15.6505272
adufo,19.0713018
advir,14.0157371
aedes,12.6264746
aerar,17.403595
aéreo,11.2377863
afago,13.8237697
afano,18.6914493
afear,18.4989595
afefé,19.9962506
afegã,14.7706442
afeto,11.6464907
afiar,14.4039018
afilo,20.3717349
afito,19.8067088
afixo,16.0137286
aflar,19.3206477
afobo,19.3612854
áfodo,21.7454505
afogo,15.4364417
afono,19.8508336
afora,11.7621541
